City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Guayacan Real
421,Havre-Saint-Pierre,CA,61.16,clear sky,50.2334,-63.5986,Auberge Niapiskau
422,Emerald,AU,69.35,scattered clouds,-23.5333,148.1667,The Irish Village
424,Macas,EC,65.77,scattered clouds,-2.3167,-78.1167,Casa Upano
426,Ayan,RU,65.26,scattered clouds,56.45,138.1667,Gostinitsa
427,Richards Bay,ZA,54.68,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
428,Joshimath,IN,76.28,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
432,Little Current,CA,73.45,clear sky,45.9793,-81.9248,Hawberry Motel
434,Pallasovka,RU,63.79,clear sky,50.05,46.8833,"Hotel ""Natalia"""
435,Salamiyah,SY,74.95,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
436,Inyonga,TZ,52.18,clear sky,-6.7167,32.0667,Eden Rock Lodge
437,Muros,ES,64.83,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
438,Den Helder,NL,64.98,mist,52.9599,4.7593,Hotel Den Helder
439,Fairbanks,US,70.14,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
440,Ahtopol,BG,64.87,clear sky,42.1,27.95,Agata Beach Hotel
443,Riohacha,CO,78.35,overcast clouds,11.5444,-72.9072,Hotel Taroa
446,Santa Cruz,BO,76.46,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
447,Cap-Aux-Meules,CA,60.85,few clouds,47.3821,-61.8597,Auberge Madeli
448,Severo-Kurilsk,RU,59.34,broken clouds,50.6789,156.125,Kak Doma
450,Ambilobe,MG,59.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
451,Maragogi,BR,73.54,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
454,Tamale,GH,74.91,overcast clouds,9.4008,-0.8393,Tap Hotel
455,Encantado,BR,69.04,moderate rain,-29.2361,-51.8697,Tri Hotel Encantado
456,Mirador,BR,71.46,scattered clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
457,Sitka,US,54.23,light rain,57.0531,-135.33,Westmark Sitka
459,Ipixuna,BR,78.75,clear sky,-1.7625,-48.8043,Casa da Oscarina
460,Manzhouli,CN,68.94,scattered clouds,49.6,117.4333,Angala International Youth Hostel
462,Misratah,LY,79.41,clear sky,32.3754,15.0925,فندق الماسة
465,Miranda,CO,66.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
466,Kyshtovka,RU,57.49,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
467,Otradnoye,RU,63.97,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
468,Roald,NO,63.34,few clouds,62.5833,6.1333,Flem Cabins
469,Arona,ES,69.03,clear sky,28.0996,-16.681,Paradise Court
470,Pokrovsk,UA,65.14,clear sky,48.282,37.1758,Druzhba
471,Mozelos,PT,64.27,clear sky,41.8677,-8.3978,Ribeira Collection Hotel by Piamonte Hotels
472,Takaka,NZ,56.97,overcast clouds,-40.85,172.8,Golden Bay Motels
473,Nykoping,SE,58.42,clear sky,58.753,17.0079,Clarion Collection Hotel Kompaniet
475,Berdsk,RU,74.8,overcast clouds,54.7551,83.0967,Mini-Hotel Kalinina 9A
477,Toamasina,MG,62.6,moderate rain,-18.1667,49.3833,Hotel H1
480,Yetkul,RU,55.38,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
481,Nova Ushytsya,UA,63.68,few clouds,48.8372,27.2743,"Mini-Hotelʹ ""Edem"""
483,Novaya Malykla,RU,59.99,overcast clouds,54.2,49.95,Gostinitsa
484,Salta,AR,56.57,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
486,Cotonou,BJ,75.81,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
487,Faanui,PF,78.06,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
488,Maniwaki,CA,63.14,scattered clouds,46.3834,-75.966,Centre Chateau Logue
489,Verkhnyaya Toyma,RU,55.56,overcast clouds,62.2349,44.9985,Gostinitsa Sportivnaya
492,Nadym,RU,50.79,overcast clouds,65.5333,72.5167,Apartment on Zvereva
493,Scarborough,GB,60.53,overcast clouds,54.2797,-0.4044,Ambassador Roomzzz
494,Terney,RU,79.77,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
495,Hay River,CA,60.78,few clouds,60.8156,-115.7999,Ptarmigan Inn
496,Saint-Gaudens,FR,63.34,overcast clouds,43.0833,0.6667,L'Ardiégeoise
497,Ulaangom,MN,68.13,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
499,Kwinana,AU,65.8,light rain,-32.25,115.7667,Rockingham Apartments
500,Garowe,SO,74.46,broken clouds,8.4054,48.4845,Curubo Hotel
503,Ilo,PE,59.97,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
504,Lasa,IT,62.06,light rain,46.6166,10.7002,Pension Feldgärtenhof
508,Santa Cruz De La Palma,ES,71.74,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
513,Pacific Grove,US,78.26,broken clouds,36.6177,-121.9166,Lovers Point Inn
515,Hinton,CA,61.11,overcast clouds,53.4001,-117.5857,Econo Lodge & Suites
519,Jalu,LY,76.24,clear sky,29.0331,21.5482,صاحبة الفخامة
524,El Alto,PE,64.36,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
525,Nisia Floresta,BR,74.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
526,Maracacume,BR,72.0,few clouds,-2.0428,-45.9592,Hotel Ramos
527,Tahe,CN,74.3,few clouds,52.3333,124.7333,塔河宾馆
529,Dali,CN,71.69,clear sky,25.7,100.1833,Dali Travelling With Hostel
534,Bredy,RU,57.63,clear sky,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
537,Piacabucu,BR,72.72,broken clouds,-10.4056,-36.4344,Piaçabuçu News
543,North Bend,US,73.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
544,Santiago,CL,53.85,broken clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
545,Byron Bay,AU,69.06,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
