City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
145,Tefe,BR,-3.3542,-64.7114,78.24,72,100,2.24,2021-07-26 02:23:35,overcast clouds
146,Esperance,AU,-33.8667,121.9,58.84,72,3,22.48,2021-07-26 02:21:37,clear sky
147,Torbay,CA,47.6666,-52.7314,55.76,94,90,8.05,2021-07-26 02:23:35,overcast clouds
148,Lagoa,PT,39.05,-27.9833,68.85,84,9,11.65,2021-07-26 02:23:36,clear sky
149,Sfantu Gheorghe,RO,45.8667,25.7833,63.27,80,5,1.99,2021-07-26 02:23:36,clear sky
150,Clyde River,CA,70.4692,-68.5914,34.03,100,90,4.61,2021-07-26 02:23:36,light rain
151,Baglung,NP,28.2719,83.5898,72.19,97,100,0.58,2021-07-26 02:23:37,light rain
152,Esso,RU,55.9333,158.7,76.77,46,11,1.97,2021-07-26 02:23:37,few clouds
153,Sungaipenuh,ID,-2.0833,101.3833,73.81,69,38,1.83,2021-07-26 02:23:37,scattered clouds
154,Celestun,MX,20.8667,-90.4,81.7,82,26,10.22,2021-07-26 02:23:37,scattered clouds
155,Sisimiut,GL,66.9395,-53.6735,49.55,72,100,5.73,2021-07-26 02:23:38,light rain
156,Coihaique,CL,-45.5752,-72.0662,30.15,86,0,3.44,2021-07-26 02:23:38,clear sky
157,Veraval,IN,20.9,70.3667,79.03,92,100,21.0,2021-07-26 02:23:38,moderate rain
158,Carnarvon,AU,-24.8667,113.6333,64.47,61,75,8.05,2021-07-26 02:22:55,broken clouds
159,Normandin,CA,48.8333,-72.5321,66.51,100,95,3.44,2021-07-26 02:23:39,overcast clouds
160,Ahipara,NZ,-35.1667,173.1667,59.11,82,66,13.73,2021-07-26 02:23:39,broken clouds
161,Castro,BR,-24.7911,-50.0119,54.99,61,5,3.51,2021-07-26 02:22:31,clear sky
162,Deputatskiy,RU,69.3,139.9,57.31,53,100,5.17,2021-07-26 02:23:39,overcast clouds
163,Lavrentiya,RU,65.5833,-171.0,44.58,98,100,3.04,2021-07-26 02:23:40,overcast clouds
164,Xuddur,SO,4.1213,43.8894,67.01,83,49,18.39,2021-07-26 02:22:42,scattered clouds
165,Airai,TL,-8.9266,125.4092,74.84,26,83,3.38,2021-07-26 02:23:40,broken clouds
166,Sinegorye,RU,62.0788,150.477,53.11,96,100,6.93,2021-07-26 02:23:40,light rain
167,Glace Bay,CA,46.1969,-59.957,61.9,94,40,1.99,2021-07-26 02:23:41,scattered clouds
168,Suntar,RU,62.1444,117.6319,82.67,40,0,4.99,2021-07-26 02:23:41,clear sky
169,Margate,GB,51.3813,1.3862,64.31,93,92,3.0,2021-07-26 02:22:21,overcast clouds
170,Skibbereen,IE,51.55,-9.2667,62.4,89,91,4.59,2021-07-26 02:19:14,overcast clouds
171,Ucluelet,CA,48.9329,-125.5528,79.05,83,15,10.89,2021-07-26 02:20:16,few clouds
172,Walvis Bay,NA,-22.9575,14.5053,72.55,26,91,19.57,2021-07-26 02:23:42,overcast clouds
173,Nemuro,JP,43.3236,145.575,75.63,87,0,8.52,2021-07-26 02:23:42,clear sky
174,Nishihara,JP,26.1842,127.7558,85.66,89,75,14.97,2021-07-26 02:23:42,broken clouds
175,Yakeshi,CN,49.2833,120.7333,69.03,68,91,5.19,2021-07-26 02:23:42,overcast clouds
176,Gualeguaychu,AR,-33.0094,-58.5172,57.04,96,100,8.08,2021-07-26 02:20:53,overcast clouds
177,Barrow,US,71.2906,-156.7887,39.22,95,90,17.27,2021-07-26 02:23:43,light rain
178,Kumta,IN,14.4167,74.4,79.18,88,86,11.52,2021-07-26 02:23:43,overcast clouds
179,Vila Velha,BR,-20.3297,-40.2925,64.35,94,0,0.0,2021-07-26 02:23:43,clear sky
180,Hof,DE,50.3167,11.9167,63.5,83,24,3.0,2021-07-26 02:23:44,few clouds
181,Itaituba,BR,-4.2761,-55.9836,75.36,54,100,1.21,2021-07-26 02:23:44,overcast clouds
182,Heihe,CN,50.2441,127.4902,77.58,76,100,4.54,2021-07-26 02:23:44,overcast clouds
183,Andilamena,MG,-17.0167,48.5833,55.76,88,99,10.63,2021-07-26 02:23:45,overcast clouds
184,Kununurra,AU,-15.7667,128.7333,84.18,26,46,9.22,2021-07-26 02:23:45,scattered clouds
185,Umm Lajj,SA,25.0213,37.2685,84.47,55,8,10.31,2021-07-26 02:23:45,clear sky
186,Codrington,AU,-38.2667,141.9667,57.09,85,98,18.66,2021-07-26 02:23:46,overcast clouds
187,Skjervoy,NO,70.0311,20.9714,50.97,97,100,0.83,2021-07-26 02:23:46,light rain
188,Ronne,DK,55.1009,14.7066,69.71,78,90,8.05,2021-07-26 02:23:46,overcast clouds
189,Geraldton,AU,-28.7667,114.6,63.12,88,90,12.66,2021-07-26 02:23:46,overcast clouds
190,Tshane,BW,-24.0196,21.8684,40.84,60,10,10.89,2021-07-26 02:23:47,clear sky
191,Mango,US,27.9797,-82.3065,85.91,82,1,4.61,2021-07-26 02:23:47,clear sky
192,Mahebourg,MU,-20.4081,57.7,70.09,64,20,9.22,2021-07-26 02:23:47,few clouds
193,San Quintin,MX,30.4833,-115.95,68.52,82,100,7.94,2021-07-26 02:20:20,overcast clouds
194,Yuancheng,CN,36.652,107.7896,76.62,39,100,5.3,2021-07-26 02:23:48,light rain
195,Esna,EG,25.2934,32.554,82.42,25,0,8.43,2021-07-26 02:23:48,clear sky
196,Lazaro Cardenas,MX,17.9583,-102.2,81.72,83,94,5.17,2021-07-26 02:19:27,overcast clouds
197,Alice Springs,AU,-23.7,133.8833,74.21,21,6,11.99,2021-07-26 02:23:48,clear sky
198,Narsaq,GL,60.9167,-46.05,46.62,62,100,1.34,2021-07-26 02:22:19,overcast clouds
199,Isangel,VU,-19.55,169.2667,75.33,75,98,16.37,2021-07-26 02:23:49,overcast clouds
200,Road Town,VG,18.4167,-64.6167,78.21,80,94,17.56,2021-07-26 02:23:49,light rain
201,Yellowknife,CA,62.456,-114.3525,59.52,47,20,1.99,2021-07-26 02:23:49,few clouds
202,Bethel,US,41.3712,-73.414,75.04,91,0,2.46,2021-07-26 02:23:50,light rain
203,Amqui,CA,48.4638,-67.4313,64.89,98,100,6.53,2021-07-26 02:23:50,overcast clouds
204,Saint-Philippe,RE,-21.3585,55.7679,67.55,70,58,11.5,2021-07-26 02:23:50,broken clouds
205,Castle Bruce,DM,15.4333,-61.2667,79.48,89,100,8.12,2021-07-26 02:23:50,overcast clouds
206,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,20,5.75,2021-07-26 02:23:51,few clouds
207,Kisangani,CD,0.5167,25.2,73.35,75,92,2.51,2021-07-26 02:19:18,overcast clouds
208,Saskylakh,RU,71.9167,114.0833,59.65,56,89,16.37,2021-07-26 02:21:26,overcast clouds
209,Cherskiy,RU,68.75,161.3,54.93,46,0,13.35,2021-07-26 02:23:20,clear sky
210,Ketchikan,US,55.3422,-131.6461,63.07,63,20,5.75,2021-07-26 02:23:51,light rain
211,Semey,KZ,50.4111,80.2275,77.22,44,40,4.47,2021-07-26 02:23:52,scattered clouds
212,Batemans Bay,AU,-35.7167,150.1833,62.91,45,61,11.05,2021-07-26 02:23:52,broken clouds
213,Chicama,PE,-7.8447,-79.1469,63.14,86,18,5.7,2021-07-26 02:23:52,few clouds
214,Te Anau,NZ,-45.4167,167.7167,46.8,92,100,1.59,2021-07-26 02:23:53,light rain
215,Lillesand,NO,58.2488,8.3778,69.89,64,90,9.22,2021-07-26 02:19:15,overcast clouds
216,Port Hedland,AU,-20.3167,118.5667,78.85,22,83,10.36,2021-07-26 02:22:01,broken clouds
217,Iqaluit,CA,63.7506,-68.5145,49.69,81,75,5.99,2021-07-26 02:23:53,broken clouds
218,Port Elizabeth,ZA,-33.918,25.5701,60.1,37,99,10.71,2021-07-26 02:23:54,overcast clouds
219,Grindavik,IS,63.8424,-22.4338,48.56,100,90,23.02,2021-07-26 02:23:54,moderate rain
220,Samarai,PG,-10.6167,150.6667,79.68,74,94,16.2,2021-07-26 02:22:55,overcast clouds
221,Yar,RU,58.249,52.1026,51.98,72,90,4.47,2021-07-26 02:23:54,overcast clouds
222,Dudinka,RU,69.4058,86.1778,60.66,62,83,5.73,2021-07-26 02:23:55,broken clouds
223,Katsuura,JP,35.1333,140.3,86.11,64,57,20.58,2021-07-26 02:23:55,moderate rain
224,Nichinan,JP,31.6,131.3667,86.95,78,100,9.42,2021-07-26 02:23:55,overcast clouds
225,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,9.22,2021-07-26 02:23:55,few clouds
226,Harper,LR,4.375,-7.7169,75.76,77,58,7.02,2021-07-26 02:23:56,broken clouds
227,Semily,CZ,50.6019,15.3355,68.61,90,99,5.01,2021-07-26 02:23:56,overcast clouds
228,Nueva Loja,EC,0.0847,-76.8828,69.06,91,100,0.87,2021-07-26 02:23:56,overcast clouds
229,Joaquim Gomes,BR,-9.1373,-35.7519,71.85,98,43,2.84,2021-07-26 02:23:57,scattered clouds
230,Payo,ID,-3.7508,103.6372,80.42,48,3,1.83,2021-07-26 02:23:57,clear sky
231,Yarmouth,US,41.7057,-70.2286,73.99,91,90,5.99,2021-07-26 02:22:41,overcast clouds
232,Mansa,IN,29.9833,75.3833,89.47,60,97,9.8,2021-07-26 02:23:57,moderate rain
233,Luderitz,NA,-26.6481,15.1594,65.26,27,82,10.42,2021-07-26 02:23:58,broken clouds
234,Zhelyabovka,UA,45.3988,34.7578,71.67,80,9,5.57,2021-07-26 02:23:58,clear sky
